Date ,Price ,Open ,High ,Low ,Volume ,Chg% 
09-Jan-18,516.59,515.92,518.35,510.41,9.95M,0.51%
10-Jan-18,522,519.29,523.86,512.47,9.47M,1.05%
11-Jan-18,533.68,523.49,537.45,523.49,16.78M,2.24%
12-Jan-18,535,538.64,538.69,531.08,18.02M,0.25%
15-Jan-18,536.33,535.76,542.19,528.37,10.65M,0.25%
16-Jan-18,557.02,536.38,562.95,536.38,22.65M,3.86%
17-Jan-18,571.53,558.01,576.34,557.1,26.15M,2.60%
18-Jan-18,571.83,568.01,577.88,561.61,13.20M,0.05%
19-Jan-18,567.24,568.01,569.45,563.54,5.99M,-0.80%
22-Jan-18,570.49,561.63,573.94,561.56,9.65M,0.57%
23-Jan-18,583.93,572.97,589.34,572.97,15.40M,2.36%
24-Jan-18,588.25,582.79,605.74,579.17,20.60M,0.74%
25-Jan-18,583.09,586.36,587.06,576.57,13.55M,-0.88%
29-Jan-18,586.81,578.7,593.43,578.03,10.82M,0.64%
30-Jan-18,580.73,584.83,586.91,576.79,8.63M,-1.04%
31-Jan-18,570.61,575.03,578.72,566.6,9.21M,-1.74%
01-Feb-18,567.81,566.62,574.41,554.89,13.01M,-0.49%
02-Feb-18,567.14,563.17,576.89,560.62,10.24M,-0.12%
05-Feb-18,564.64,565.53,572.9,563.47,9.86M,-0.44%
06-Feb-18,549.53,545.66,559.75,543.28,10.55M,-2.68%
07-Feb-18,550.18,553.62,557.99,547.45,8.34M,0.12%
08-Feb-18,562.68,557,568.7,553.9,8.81M,2.27%
09-Feb-18,550.22,554.62,555.76,548.66,4.38M,-2.21%
12-Feb-18,547.07,553.03,555.91,544.59,6.29M,-0.57%
14-Feb-18,544.57,548.66,554.27,540.82,8.35M,-0.46%
15-Feb-18,552.85,547.17,560.42,547.17,7.99M,1.52%
16-Feb-18,559.6,558.09,566.35,554.66,9.89M,1.22%
19-Feb-18,561.44,559.77,563.54,555.76,6.46M,0.33%
20-Feb-18,564.02,547.55,570.24,547.55,7.19M,0.46%
21-Feb-18,569.2,569.25,571.43,565.53,13.77M,0.92%
22-Feb-18,575.82,568.28,577.43,565.75,17.86M,1.16%
23-Feb-18,573.29,577.19,578.43,568.88,9.46M,-0.44%
26-Feb-18,564.83,570.99,572.99,562.73,5.08M,-1.48%
27-Feb-18,570.59,567.98,572.3,558.41,6.62M,1.02%
28-Feb-18,581.7,569.3,590.08,566.79,17.27M,1.95%
01-Mar-18,575.82,580.21,580.21,573.49,6.58M,-1.01%
05-Mar-18,573.42,575.82,580.81,567.14,8.10M,-0.42%
06-Mar-18,571.16,576.72,578.13,567.31,6.69M,-0.39%
07-Mar-18,567.56,572.97,575.45,564.56,6.37M,-0.63%
08-Mar-18,573.79,569.99,578.33,569.99,6.09M,1.10%
09-Mar-18,577.14,576.62,578.43,573.24,4.22M,0.58%
12-Mar-18,588.22,583.39,591.25,581.28,7.68M,1.92%
13-Mar-18,587.26,585.47,593.81,582.97,8.58M,-0.16%
14-Mar-18,585.77,585.37,590.63,579.96,4.43M,-0.25%
15-Mar-18,586.61,585.37,589.54,581.4,6.10M,0.14%
16-Mar-18,581.35,586.36,586.56,580.04,17.95M,-0.90%
19-Mar-18,568.88,577.43,585.62,566.84,7.53M,-2.15%
20-Mar-18,577.71,569.8,580.41,569.8,8.55M,1.55%
21-Mar-18,579.17,580.41,583.14,576.54,7.69M,0.25%
22-Mar-18,576.1,577.68,584.11,573.12,6.81M,-0.53%
23-Mar-18,579.22,569,582.3,566.69,12.01M,0.54%
26-Mar-18,573.09,578.87,578.87,567.51,8.93M,-1.06%
27-Mar-18,572.47,575.45,576.1,570.54,3.80M,-0.11%
28-Mar-18,561.46,570.86,570.86,558.71,12.56M,-1.92%
02-Apr-18,564.12,566.02,570.27,556.25,8.07M,0.47%
03-Apr-18,565.75,562.9,567.29,559.63,4.08M,0.29%
04-Apr-18,557.69,567.51,567.79,555.61,4.81M,-1.42%
05-Apr-18,569.27,565.31,571.13,560.12,7.76M,2.08%
06-Apr-18,559.08,567.02,568.51,556.65,5.94M,-1.79%
